number,qid,type,index
0,blogs-01-1,sch,0
1,blogs-01-2,sch,0
2,blogs-01-3,sch,4
3,blogs-01-4,sch,6
4,blogs-01-5,sch,5
5,blogs-01-6,sch,5
6,blogs-01-7,sch,6
7,blogs-01-8,sch,6
8,blogs-01-9,sch,6
9,blogs-01-10,story,5
10,blogs-01-11,story,7
11,blogs-01-12,story,7
12,blogs-01-13,story,7
13,fables-02-1,story,0
14,fables-02-2,story,8
15,fables-02-3,sch,1
16,fables-02-4,sch,1
17,fables-02-5,sch,2
18,fables-02-6,sch,6
19,fables-02-7,story,0
20,fables-02-8,story,8
21,fables-02-9,sch,2
22,fables-02-10,sch,3
23,fables-02-11,sch,3
24,fables-01-1,story,0
25,fables-01-2,story,0
26,fables-01-3,story,0
27,fables-01-4,sch,11
28,fables-01-5,sch,4
29,fables-01-6,sch,9
30,fables-01-7,sch,9
31,mc500.train.0.1,story,4
32,mc500.train.0.2,story,14
33,mc500.train.0.3,story,15
34,mc500.train.0.4,story,2
35,mc500.train.0.5,story,20
36,mc500.train.0.6,story,19
37,mc500.train.0.7,story,9
38,mc500.train.0.8,story,0
39,mc500.train.0.9,story,12
40,mc500.train.0.10,story,15
41,mc500.train.0.11,story,11
42,mc500.train.0.12,story,8
